"model","scenario","ensemble","year","variable","value"
"ACCESS-CM2","ssp126","r1i1p1f1",1904,"global_tas",-0.101560073387873
"ACCESS-CM2","ssp126","r1i1p1f1",1904,"sst",-0.015672450980393
"ACCESS-CM2","ssp126","r1i1p1f1",1904,"land_tas",-0.159859411764728
"ACCESS-CM2","ssp126","r1i1p1f1",1905,"global_tas",-0.0683439465018978
"ACCESS-CM2","ssp126","r1i1p1f1",1905,"sst",0.00659321568627307
"ACCESS-CM2","ssp126","r1i1p1f1",1905,"land_tas",-0.0661594117647155
"ACCESS-CM2","ssp126","r1i1p1f1",1906,"global_tas",0.0150358555874845
"ACCESS-CM2","ssp126","r1i1p1f1",1906,"sst",0.025312632352943
"ACCESS-CM2","ssp126","r1i1p1f1",1906,"land_tas",-0.0311594117647473
"ACCESS-CM2","ssp126","r1i1p1f1",1907,"global_tas",-0.123859033181816
"ACCESS-CM2","ssp126","r1i1p1f1",1907,"sst",-0.022382784313727
"ACCESS-CM2","ssp126","r1i1p1f1",1907,"land_tas",-0.277109411764741
"ACCESS-CM2","ssp126","r1i1p1f1",1908,"global_tas",-0.075947654654783
"ACCESS-CM2","ssp126","r1i1p1f1",1908,"sst",-0.05294486764706
"ACCESS-CM2","ssp126","r1i1p1f1",1908,"land_tas",-0.13431941176475
"ACCESS-CM2","ssp126","r1i1p1f1",1909,"global_tas",-0.156662840807712
"ACCESS-CM2","ssp126","r1i1p1f1",1909,"sst",0.000628132352940167
"ACCESS-CM2","ssp126","r1i1p1f1",1909,"land_tas",-0.31235941176476
"ACCESS-CM2","ssp126","r1i1p1f1",1910,"global_tas",0.0371481740572221
"ACCESS-CM2","ssp126","r1i1p1f1",1910,"sst",0.0667058823529418
"ACCESS-CM2","ssp126","r1i1p1f1",1910,"land_tas",0.0242805882352854
"ACCESS-CM2","ssp126","r1i1p1f1",1911,"global_tas",0.00528301301613965
"ACCESS-CM2","ssp126","r1i1p1f1",1911,"sst",0.0252479656862762
"ACCESS-CM2","ssp126","r1i1p1f1",1911,"land_tas",0.0649005882352753
"ACCESS-CM2","ssp126","r1i1p1f1",1912,"global_tas",-0.237385570571519
"ACCESS-CM2","ssp126","r1i1p1f1",1912,"sst",-0.096347867647058
"ACCESS-CM2","ssp126","r1i1p1f1",1912,"land_tas",-0.247459411764737
"ACCESS-CM2","ssp126","r1i1p1f1",1913,"global_tas",-0.280016617878687
"ACCESS-CM2","ssp126","r1i1p1f1",1913,"sst",-0.122378117647059
"ACCESS-CM2","ssp126","r1i1p1f1",1913,"land_tas",-0.36637941176474
"ACCESS-CM2","ssp126","r1i1p1f1",1914,"global_tas",-0.415074548830887
"ACCESS-CM2","ssp126","r1i1p1f1",1914,"sst",-0.199626284313727
"ACCESS-CM2","ssp126","r1i1p1f1",1914,"land_tas",-0.601699411764741
"ACCESS-CM2","ssp126","r1i1p1f1",1915,"global_tas",-0.225224581616658
"ACCESS-CM2","ssp126","r1i1p1f1",1915,"sst",-0.084495534313724
"ACCESS-CM2","ssp126","r1i1p1f1",1915,"land_tas",-0.229539411764733
"ACCESS-CM2","ssp126","r1i1p1f1",1916,"global_tas",-0.0145096199139516
"ACCESS-CM2","ssp126","r1i1p1f1",1916,"sst",0.0396757990196087
"ACCESS-CM2","ssp126","r1i1p1f1",1916,"land_tas",-0.00132941176474333
"ACCESS-CM2","ssp126","r1i1p1f1",1917,"global_tas",-0.293316860157518
